
Виды                        Период разложения
Пищевые отходы	            до 1 месяца
Газетная бумага	            до 1 года
Картонные коробки	        до 1 года
Бумага	                    2 года
Доски деревянные	        до 10 лет
Железная арматура	        до 10 лет
Железные банки	            до 10 лет
Старая обувь	            до 10 лет
Обломки кирпича, бетона	    до 100 лет
Автоаккумуляторы	        до 100 лет
Фольга	                    до 100 лет
Жестяная банка	            до 90 лет
Электрические батарейки	    до 100 лет
Резиновые покрышки	        более 100 лет
Пластиковые бутылки	        более 100 лет
Полиэтиленовая пленка	    200 лет
Алюминиевые банки	        500 лет
Стекло	                    более 1000 лет
